sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,bovada_line,bovada_over_price,bovada_under_price,draftkings_line,draftkings_over_price,draftkings_under_price,fanduel_line,fanduel_over_price,fanduel_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_threes,De'Andre Hunter,,,2025-03-09 18:16:29.144751,1.5,-149.0,115.0,1.5,-141.0,110.0,1.5,-130.0,102.0,1.5,-149.0,115.0,1.5,-141.0,109.0,1.5,-141.0,107.0,3.03,-121.52,121.52,-130.0,115.0,fanduel,betmgm,1.5,1.5,1.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_threes_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.144819,,,,5.5,400.0,,1.5,560.0,,0.5,210.0,,1.5,862.0,,,,,,,,210.0,,betmgm,,0.5,,1.5,most_common
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_assists_alternate,Dean Wade,,,2025-03-09 18:16:29.145196,,,,3.5,600.0,,,,,,,,,,,,,,,,,600.0,,draftkings,,3.5,,3.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_blocks_alternate,Dean Wade,,,2025-03-09 18:16:29.147565,,,,,,,,,,,,,0.5,900.0,,,,,,,,900.0,,betonlineag,,0.5,,0.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_alternate,Dean Wade,,,2025-03-09 18:16:29.145556,,,,14.5,1700.0,,,,,,,,,,,,,,,,,1700.0,,draftkings,,14.5,,14.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_alternate,Dean Wade,,,2025-03-09 18:16:29.146047,,,,6.5,185.0,,,,,,,,,,,,,,,,,185.0,,draftkings,,6.5,,6.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_assists,Dean Wade,,,2025-03-09 18:16:29.147928,,,,,,,,,,,,,6.5,-103.0,-125.0,,,,6.29,109.49,-109.49,-103.0,-125.0,betonlineag,betonlineag,6.5,6.5,6.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_assists_alternate,Dean Wade,,,2025-03-09 18:16:29.146339,,,,7.5,-345.0,,,,,,,,10.5,2645.0,,,,,,,,-345.0,,draftkings,,7.5,,9.0,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_rebounds,Dean Wade,,,2025-03-09 18:16:29.148304,,,,,,,,,,,,,2.5,-111.0,-116.0,,,,6.31,102.09,-102.09,-111.0,-116.0,betonlineag,betonlineag,2.5,2.5,2.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_rebounds_alternate,Dean Wade,,,2025-03-09 18:16:29.146538,,,,2.5,-105.0,,,,,,,,6.5,260.0,,,,,,,,-105.0,,draftkings,,2.5,,4.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_steals_alternate,Dean Wade,,,2025-03-09 18:16:29.148839,,,,,,,,,,,,,2.5,600.0,,,,,,,,600.0,,betonlineag,,2.5,,2.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_threes,Dean Wade,,,2025-03-09 18:16:29.148919,,,,,,,,,,,,,0.5,-116.0,-111.0,,,,6.31,-102.09,102.09,-116.0,-111.0,betonlineag,betonlineag,0.5,0.5,0.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_threes_alternate,Dean Wade,,,2025-03-09 18:16:29.146939,,,,1.5,1000.0,,,,,,,,1.5,807.0,,,,,,,,1000.0,,draftkings,,1.5,,1.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_assists,Devin Vassell,,,2025-03-09 18:16:29.448913,,,,2.5,114.0,-145.0,,,,2.5,120.0,-154.0,2.5,110.0,-143.0,,,,4.3,129.47,-129.47,120.0,-143.0,betmgm,betonlineag,2.5,2.5,2.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_assists_alternate,Devin Vassell,,,2025-03-09 18:16:29.449039,,,,4.5,105.0,,,,,4.5,130.0,,2.5,-312.0,,,,,,,,-312.0,,betonlineag,,2.5,,4.5,most_common
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_blocks,Devin Vassell,,,2025-03-09 18:16:29.452765,,,,,,,,,,0.5,115.0,-161.0,,,,,,,8.2,132.62,-132.62,115.0,-161.0,betmgm,betmgm,0.5,0.5,0.5,median
